,humidity,light,temperature,soil,label
207,70,550.833313,28.0,55.0,1
75,75,0.0,26.700001,49.81554359,0
909,54,672.0,26.0,44.0,3
297,53,2410.833252,30.200001,49.51117047,3
417,79,30.833332000000002,23.799999,49.51117047,0
962,84,4.0,28.0,62.0,1
48,75,0.0,27.6,50.23019788,0
271,77,0.0,26.700001,49.58103521,0
165,69,770.833313,27.6,48.87862055,1
980,74,831.0,23.0,38.0,2
1008,69,1323.0,30.0,30.0,0
225,71,408.333313,27.6,50.0,1
605,73,335.833313,25.299999,49.77880291,0
214,68,326.666656,28.0,57.54229299,0
676,70,112.49999199999999,28.0,70.2,1
488,51,514.166626,29.299999,49.39285613,2
34,72,13.333332999999998,28.0,49.38557781,0
623,73,326.666656,26.700001,50.04136289,1
244,73,40.833332,27.1,50.04136289,0
932,62,1228.0,30.0,60.0,2
100,76,0.0,26.200001,50.10671058,0
866,52,2505.0,28.0,42.0,3
349,78,0.0,24.799999,49.51117047,0
309,78,0.0,25.799999,70.2,0
679,70,24236.66602,28.0,60.5,1
886,60,20.0,29.0,60.0,3
631,73,557.5,27.1,49.51117047,1
999,77,1687.0,25.0,60.0,2
404,79,0.0,24.1,50.0,0
237,72,124.16666399999998,27.1,49.50059557,1
636,73,434.16665599999993,27.1,49.98015822,1
986,78,980.0,24.0,50.0,2
184,68,1431.666626,28.0,60.0,0
242,73,71.666664,27.1,50.0,0
251,75,0.0,27.1,49.39285613,0
609,73,311.666656,25.799999,49.51117047,0
198,68,864.166626,28.0,50.22150216,0
